Algoritmo;K;Jaccard_reale;Ripetizione;Jaccard_stimata
KMH;16;0;1;0
KMH;16;0;2;0
KMH;16;0;3;0
KMH;16;0;4;0
KMH;16;0;5;0
KMH;16;0;6;0
KMH;16;0;7;0
KMH;16;0;8;0
KMH;16;0;9;0
KMH;16;0;10;0
KMH;16;0;11;0
KMH;16;0;12;0
KMH;16;0;13;0
KMH;16;0;14;0
KMH;16;0;15;0
KMH;16;0;16;0
KMH;16;0;17;0
KMH;16;0;18;0
KMH;16;0;19;0
KMH;16;0;20;0
KMH;16;0;21;0
KMH;16;0;22;0
KMH;16;0;23;0
KMH;16;0;24;0
KMH;16;0;25;0
KMH;16;0;26;0
KMH;16;0;27;0
KMH;16;0;28;0
KMH;16;0;29;0
KMH;16;0;30;0
KMH;16;0;31;0
KMH;16;0;32;0
KMH;16;0;33;0
KMH;16;0;34;0
KMH;16;0;35;0
KMH;16;0;36;0
KMH;16;0;37;0
KMH;16;0;38;0
KMH;16;0;39;0
KMH;16;0;40;0
KMH;16;0;41;0
KMH;16;0;42;0
KMH;16;0;43;0
KMH;16;0;44;0
KMH;16;0;45;0
KMH;16;0;46;0
KMH;16;0;47;0
KMH;16;0;48;0
KMH;16;0;49;0
KMH;16;0;50;0
KMH;16;0;51;0
KMH;16;0;52;0
KMH;16;0;53;0
KMH;16;0;54;0
KMH;16;0;55;0
KMH;16;0;56;0
KMH;16;0;57;0
KMH;16;0;58;0
KMH;16;0;59;0
KMH;16;0;60;0
KMH;16;0;61;0
KMH;16;0;62;0
KMH;16;0;63;0
KMH;16;0;64;0
KMH;16;0;65;0
KMH;16;0;66;0
KMH;16;0;67;0
KMH;16;0;68;0
KMH;16;0;69;0
KMH;16;0;70;0
KMH;16;0;71;0
KMH;16;0;72;0
KMH;16;0;73;0
KMH;16;0;74;0
KMH;16;0;75;0
KMH;16;0;76;0
KMH;16;0;77;0
KMH;16;0;78;0
KMH;16;0;79;0
KMH;16;0;80;0
KMH;16;0;81;0
KMH;16;0;82;0
KMH;16;0;83;0
KMH;16;0;84;0
KMH;16;0;85;0
KMH;16;0;86;0
KMH;16;0;87;0
KMH;16;0;88;0
KMH;16;0;89;0
KMH;16;0;90;0
KMH;16;0;91;0
KMH;16;0;92;0
KMH;16;0;93;0
KMH;16;0;94;0
KMH;16;0;95;0
KMH;16;0;96;0
KMH;16;0;97;0
KMH;16;0;98;0
KMH;16;0;99;0
KMH;16;0;100;0
KMH;16;0.1008;1;0.25
KMH;16;0.1008;2;0.1875
KMH;16;0.1008;3;0.1875
KMH;16;0.1008;4;0.1875
KMH;16;0.1008;5;0.1875
KMH;16;0.1008;6;0.25
KMH;16;0.1008;7;0.1875
KMH;16;0.1008;8;0.1875
KMH;16;0.1008;9;0.1875
KMH;16;0.1008;10;0.125
KMH;16;0.1008;11;0.125
KMH;16;0.1008;12;0.125
KMH;16;0.1008;13;0.125
KMH;16;0.1008;14;0.125
KMH;16;0.1008;15;0.125
