Algoritmo;Dimensione (k);Funzione hash;Tempo di esecuzione
KMH;1;1;26
KMH;1;2;15
KMH;1;3;15
KMH;1;4;14
KMH;1;5;43
KMH;1;6;15
KMH;1;7;15
KMH;1;8;15
KMH;1;9;15
KMH;1;10;15
KMH;2;1;45
KMH;2;2;42
KMH;2;3;31
KMH;2;4;33
KMH;2;5;26
KMH;2;6;26
KMH;2;7;38
KMH;2;8;26
KMH;2;9;207
KMH;2;10;30
KMH;4;1;59
KMH;4;2;49
KMH;4;3;48
KMH;4;4;49
KMH;4;5;49
KMH;4;6;49
KMH;4;7;49
KMH;4;8;48
KMH;4;9;48
KMH;4;10;49
KMH;8;1;105
KMH;8;2;95
KMH;8;3;98
KMH;8;4;95
KMH;8;5;96
KMH;8;6;96
KMH;8;7;95
KMH;8;8;95
KMH;8;9;97
KMH;8;10;95
KMH;16;1;205
KMH;16;2;203
KMH;16;3;191
KMH;16;4;190
KMH;16;5;196
KMH;16;6;196
KMH;16;7;192
KMH;16;8;192
KMH;16;9;203
KMH;16;10;191
KMH;32;1;385
KMH;32;2;381
KMH;32;3;397
KMH;32;4;396
KMH;32;5;402
KMH;32;6;422
KMH;32;7;391
KMH;32;8;416
KMH;32;9;413
KMH;32;10;457
KMH;64;1;851
KMH;64;2;824
KMH;64;3;763
KMH;64;4;756
KMH;64;5;752
KMH;64;6;754
KMH;64;7;799
KMH;64;8;876
KMH;64;9;798
KMH;64;10;1043
KMH;128;1;2050
KMH;128;2;1715
KMH;128;3;1575
KMH;128;4;1594
KMH;128;5;1586
KMH;128;6;1562
KMH;128;7;1565
KMH;128;8;1756
KMH;128;9;1985
KMH;128;10;1898
KMH;256;1;3241
KMH;256;2;3314
KMH;256;3;3596
KMH;256;4;3232
KMH;256;5;3488
KMH;256;6;3230
KMH;256;7;3159
KMH;256;8;3410
KMH;256;9;3445
KMH;256;10;3312
KMH;512;1;6310
KMH;512;2;7239
KMH;512;3;6808
KMH;512;4;6394
KMH;512;5;8192
KMH;512;6;6939
KMH;512;7;7346
KMH;512;8;7474
KMH;512;9;10102
KMH;512;10;10860
OPH;1;1;20
OPH;1;2;17
OPH;1;3;58
OPH;1;4;19
OPH;1;5;180
OPH;1;6;74
OPH;1;7;17
OPH;1;8;17
OPH;1;9;17
OPH;1;10;17
OPH;2;1;20
OPH;2;2;17
OPH;2;3;17
OPH;2;4;18
OPH;2;5;17
OPH;2;6;17
OPH;2;7;17
OPH;2;8;17
OPH;2;9;17
OPH;2;10;16
OPH;4;1;24
OPH;4;2;22
OPH;4;3;17
OPH;4;4;24
OPH;4;5;56
OPH;4;6;19
OPH;4;7;22
OPH;4;8;17
OPH;4;9;18
OPH;4;10;20
OPH;8;1;594
OPH;8;2;29
OPH;8;3;32
OPH;8;4;199
OPH;8;5;23
OPH;8;6;284
OPH;8;7;124
OPH;8;8;119
OPH;8;9;130
OPH;8;10;190
OPH;16;1;28
OPH;16;2;19
OPH;16;3;19
OPH;16;4;19
OPH;16;5;43
OPH;16;6;119
OPH;16;7;222
OPH;16;8;153
OPH;16;9;143
OPH;16;10;48
OPH;32;1;156
OPH;32;2;28
OPH;32;3;26
OPH;32;4;26
OPH;32;5;26
OPH;32;6;44
OPH;32;7;88
OPH;32;8;27
OPH;32;9;46
OPH;32;10;28
OPH;64;1;37
OPH;64;2;150
OPH;64;3;107
OPH;64;4;39
OPH;64;5;29
OPH;64;6;32
OPH;64;7;30
OPH;64;8;40
OPH;64;9;30
OPH;64;10;30
OPH;128;1;31
OPH;128;2;121
OPH;128;3;54
OPH;128;4;35
OPH;128;5;36
OPH;128;6;37
OPH;128;7;36
OPH;128;8;35
OPH;128;9;33
OPH;128;10;36
OPH;256;1;45
OPH;256;2;112
OPH;256;3;122
OPH;256;4;39
OPH;256;5;36
OPH;256;6;35
OPH;256;7;37
OPH;256;8;36
OPH;256;9;36
OPH;256;10;43
OPH;512;1;52
OPH;512;2;159
OPH;512;3;52
OPH;512;4;52
