Algoritmo;Dimensione (n);Funzione hash;Tempo di esecuzione
KMH;1;1;756916
KMH;1;2;756002
KMH;1;3;754040
KMH;1;4;755340
KMH;1;5;755300
KMH;1;6;798084
KMH;1;7;815047
KMH;1;8;798790
KMH;1;9;762825
KMH;1;10;756091
KMH;1;11;762111
KMH;1;12;754434
KMH;1;13;753181
KMH;1;14;761919
KMH;1;15;754024
KMH;1;16;753182
KMH;1;17;752558
KMH;1;18;753391
KMH;1;19;755178
KMH;1;20;755869
KMH;1;21;757455
KMH;1;22;754543
KMH;1;23;754929
KMH;1;24;757179
KMH;1;25;754977
KMH;1;26;756132
KMH;1;27;760700
KMH;1;28;754925
KMH;1;29;796043
KMH;1;30;754601
KMH;1;31;753084
KMH;1;32;753747
KMH;1;33;754283
KMH;1;34;757477
KMH;1;35;755205
KMH;1;36;755818
KMH;1;37;759447
KMH;1;38;753493
KMH;1;39;754049
KMH;1;40;753281
KMH;1;41;753052
KMH;1;42;752877
KMH;1;43;780048
KMH;1;44;753832
KMH;1;45;757090
KMH;1;46;752731
KMH;1;47;753093
KMH;1;48;753056
KMH;1;49;753185
KMH;1;50;753917
KMH;1;51;762387
KMH;1;52;779975
KMH;1;53;791869
KMH;1;54;755879
KMH;1;55;756485
KMH;1;56;764322
KMH;1;57;764049
KMH;1;58;762041
KMH;1;59;759618
KMH;1;60;756414
KMH;1;61;754276
KMH;1;62;756430
KMH;1;63;757682
KMH;1;64;757702
KMH;1;65;757277
KMH;1;66;756233
KMH;1;67;764515
KMH;1;68;774925
KMH;1;69;768010
KMH;1;70;796532
KMH;1;71;756601
KMH;1;72;752900
KMH;1;73;760643
KMH;1;74;765825
KMH;1;75;756707
KMH;1;76;754649
KMH;1;77;753575
KMH;1;78;755769
KMH;1;79;773569
KMH;1;80;753740
KMH;1;81;770420
KMH;1;82;770049
KMH;1;83;755007
KMH;1;84;755500
KMH;1;85;753386
KMH;1;86;753548
KMH;1;87;752984
KMH;1;88;753528
KMH;1;89;754351
KMH;1;90;753906
KMH;1;91;770151
KMH;1;92;777225
KMH;1;93;757258
KMH;1;94;767426
KMH;1;95;1.02440e+06
KMH;1;96;867431
KMH;1;97;793308
KMH;1;98;757072
KMH;1;99;760287
KMH;1;100;796593
KMH;2;1;773485
KMH;2;2;758027
KMH;2;3;768905
KMH;2;4;774216
KMH;2;5;756398
KMH;2;6;757673
KMH;2;7;774313
KMH;2;8;754668
KMH;2;9;756831
KMH;2;10;759812
KMH;2;11;755451
KMH;2;12;829402
KMH;2;13;764362
KMH;2;14;762523
KMH;2;15;813141
KMH;2;16;760951
KMH;2;17;758510
KMH;2;18;886458
KMH;2;19;754348
KMH;2;20;755909
KMH;2;21;753810
KMH;2;22;760177
KMH;2;23;759027
KMH;2;24;753943
KMH;2;25;754439
KMH;2;26;754465
KMH;2;27;754837
KMH;2;28;754698
KMH;2;29;757878
KMH;2;30;754817
KMH;2;31;754134
KMH;2;32;754202
KMH;2;33;793169
KMH;2;34;763526
KMH;2;35;754275
KMH;2;36;754737
KMH;2;37;754833
KMH;2;38;773256
KMH;2;39;774467
KMH;2;40;757899
KMH;2;41;763327
KMH;2;42;764725
KMH;2;43;755543
KMH;2;44;755276
KMH;2;45;754496
KMH;2;46;757194
KMH;2;47;774015
KMH;2;48;765132
KMH;2;49;759283
KMH;2;50;756192
KMH;2;51;762423
KMH;2;52;812325
KMH;2;53;763754
KMH;2;54;765466
KMH;2;55;757161
KMH;2;56;772678
KMH;2;57;768017
KMH;2;58;761219
KMH;2;59;755438
KMH;2;60;757147
KMH;2;61;754592
KMH;2;62;755291
KMH;2;63;754971
KMH;2;64;775363
KMH;2;65;770060
KMH;2;66;820465
KMH;2;67;862881
KMH;2;68;758736
KMH;2;69;793659
KMH;2;70;766860
KMH;2;71;816076
KMH;2;72;771769
KMH;2;73;756058
KMH;2;74;754884
KMH;2;75;766311
KMH;2;76;768142
KMH;2;77;773719
KMH;2;78;760614
KMH;2;79;756930
KMH;2;80;756633
KMH;2;81;774412
KMH;2;82;766704
KMH;2;83;758477
KMH;2;84;786558
KMH;2;85;766398
KMH;2;86;768922
KMH;2;87;763741
KMH;2;88;757669
KMH;2;89;764860
KMH;2;90;774494
KMH;2;91;755751
KMH;2;92;766643
KMH;2;93;816648
KMH;2;94;760042
KMH;2;95;764126
KMH;2;96;768263
KMH;2;97;770071
KMH;2;98;756655
KMH;2;99;773460
KMH;2;100;780768
KMH;4;1;765532
KMH;4;2;766027
KMH;4;3;768981
KMH;4;4;770225
KMH;4;5;764484
KMH;4;6;773899
KMH;4;7;804373
KMH;4;8;769452
KMH;4;9;768568
KMH;4;10;767001
KMH;4;11;796830
KMH;4;12;800006
KMH;4;13;758760
KMH;4;14;757054
KMH;4;15;758348
KMH;4;16;759820
KMH;4;17;762040
KMH;4;18;757870
KMH;4;19;758248
KMH;4;20;757399
KMH;4;21;755610
KMH;4;22;756426
KMH;4;23;757465
KMH;4;24;760986
KMH;4;25;838677
KMH;4;26;777312
KMH;4;27;756715
KMH;4;28;756573
KMH;4;29;766229
KMH;4;30;759037
KMH;4;31;770625
KMH;4;32;756323
KMH;4;33;756074
KMH;4;34;757413
KMH;4;35;756673
KMH;4;36;799469
KMH;4;37;756077
KMH;4;38;756048
KMH;4;39;755866
KMH;4;40;756555
KMH;4;41;754993
KMH;4;42;755353
KMH;4;43;755416
KMH;4;44;756032
KMH;4;45;756192
KMH;4;46;759541
KMH;4;47;827313
KMH;4;48;795730
KMH;4;49;756123
KMH;4;50;759761
KMH;4;51;817860
KMH;4;52;763551
KMH;4;53;758078
KMH;4;54;757034
KMH;4;55;782011
KMH;4;56;799795
KMH;4;57;756664
KMH;4;58;756734
KMH;4;59;755590
KMH;4;60;755868
KMH;4;61;756686
KMH;4;62;759767
KMH;4;63;756597
KMH;4;64;795173
KMH;4;65;765486
KMH;4;66;756403
KMH;4;67;755039
KMH;4;68;762432
KMH;4;69;755181
KMH;4;70;756032
KMH;4;71;756525
KMH;4;72;768419
KMH;4;73;808757
KMH;4;74;758956
KMH;4;75;756445
KMH;4;76;755123
KMH;4;77;755653
KMH;4;78;755940
KMH;4;79;755333
KMH;4;80;758915
KMH;4;81;755843
KMH;4;82;754851
KMH;4;83;755579
KMH;4;84;756039
KMH;4;85;767675
KMH;4;86;769572
KMH;4;87;798511
KMH;4;88;760908
KMH;4;89;811679
KMH;4;90;765848
KMH;4;91;757458
KMH;4;92;755655
KMH;4;93;755263
KMH;4;94;754688
KMH;4;95;755252
KMH;4;96;753906
KMH;4;97;749120
KMH;4;98;748214
KMH;4;99;753604
KMH;4;100;752451
KMH;8;1;757296
KMH;8;2;756684
KMH;8;3;757697
KMH;8;4;756544
KMH;8;5;752050
KMH;8;6;753437
KMH;8;7;744622
KMH;8;8;747231
KMH;8;9;754486
KMH;8;10;758292
KMH;8;11;823179
KMH;8;12;751371
KMH;8;13;752182
KMH;8;14;792183
KMH;8;15;816978
KMH;8;16;757374
KMH;8;17;757226
KMH;8;18;757257
KMH;8;19;756331
KMH;8;20;754085
KMH;8;21;796896
KMH;8;22;756585
KMH;8;23;755951
KMH;8;24;751606
KMH;8;25;757333
KMH;8;26;757356
KMH;8;27;757023
KMH;8;28;759953
KMH;8;29;757180
KMH;8;30;754713
KMH;8;31;750462
KMH;8;32;752473
KMH;8;33;758933
KMH;8;34;758381
KMH;8;35;749867
KMH;8;36;749457
KMH;8;37;824016
KMH;8;38;815645
KMH;8;39;770458
KMH;8;40;777977
KMH;8;41;761804
KMH;8;42;1.01609e+06
KMH;8;43;776422
KMH;8;44;818775
KMH;8;45;762732
KMH;8;46;755572
KMH;8;47;758866
KMH;8;48;757332
KMH;8;49;757427
KMH;8;50;758382
KMH;8;51;756952
KMH;8;52;759908
KMH;8;53;757966
KMH;8;54;755201
KMH;8;55;761376
KMH;8;56;756654
KMH;8;57;790913
KMH;8;58;773503
KMH;8;59;759578
KMH;8;60;787932
KMH;8;61;1.06908e+06
KMH;8;62;856232
KMH;8;63;777474
KMH;8;64;768988
KMH;8;65;759907
KMH;8;66;757113
KMH;8;67;756514
KMH;8;68;758305
KMH;8;69;797469
KMH;8;70;757032
KMH;8;71;762354
KMH;8;72;757494
KMH;8;73;762490
KMH;8;74;772207
KMH;8;75;763863
KMH;8;76;791377
KMH;8;77;757636
KMH;8;78;760344
KMH;8;79;804440
KMH;8;80;758735
KMH;8;81;758149
KMH;8;82;880616
KMH;8;83;783922
KMH;8;84;804229
KMH;8;85;759737
KMH;8;86;759541
KMH;8;87;869574
KMH;8;88;836339
KMH;8;89;765965
KMH;8;90;806539
KMH;8;91;806542
KMH;8;92;765334
KMH;8;93;785715
KMH;8;94;809851
KMH;8;95;812363
KMH;8;96;795537
KMH;8;97;818420
KMH;8;98;797772
KMH;8;99;812844
KMH;8;100;800901
KMH;16;1;810159
KMH;16;2;775720
KMH;16;3;759261
KMH;16;4;758177
KMH;16;5;761955
KMH;16;6;760078
KMH;16;7;758950
KMH;16;8;766335
KMH;16;9;758571
KMH;16;10;759633
KMH;16;11;758783
KMH;16;12;771831
KMH;16;13;770621
KMH;16;14;759661
KMH;16;15;759673
KMH;16;16;757885
KMH;16;17;760253
KMH;16;18;759405
KMH;16;19;758499
KMH;16;20;758499
KMH;16;21;759746
KMH;16;22;758850
KMH;16;23;759002
KMH;16;24;758059
KMH;16;25;758588
KMH;16;26;759172
KMH;16;27;759654
KMH;16;28;760702
KMH;16;29;759512
KMH;16;30;758817
KMH;16;31;758749
KMH;16;32;759815
KMH;16;33;758800
KMH;16;34;771207
KMH;16;35;770483
KMH;16;36;886868
KMH;16;37;802134
KMH;16;38;762793
KMH;16;39;757151
KMH;16;40;761333
KMH;16;41;758034
KMH;16;42;757891
KMH;16;43;758117
KMH;16;44;758416
KMH;16;45;757669
KMH;16;46;757615
KMH;16;47;759005
KMH;16;48;761125
KMH;16;49;763177
KMH;16;50;763448
KMH;16;51;758802
KMH;16;52;759971
KMH;16;53;794271
KMH;16;54;760452
KMH;16;55;767609
KMH;16;56;905666
KMH;16;57;760794
KMH;16;58;768225
KMH;16;59;763120
KMH;16;60;762621
KMH;16;61;759729
KMH;16;62;758248
KMH;16;63;758653
KMH;16;64;762322
KMH;16;65;760744
KMH;16;66;756839
KMH;16;67;760382
KMH;16;68;758133
KMH;16;69;758530
KMH;16;70;761124
KMH;16;71;828317
KMH;16;72;763461
KMH;16;73;773134
KMH;16;74;764744
KMH;16;75;762019
KMH;16;76;759086
KMH;16;77;758643
KMH;16;78;758551
KMH;16;79;840073
KMH;16;80;839251
KMH;16;81;875468
KMH;16;82;776592
KMH;16;83;874902
KMH;16;84;767874
KMH;16;85;825523
KMH;16;86;760664
KMH;16;87;776580
KMH;16;88;760431
KMH;16;89;759730
KMH;16;90;760566
KMH;16;91;760474
KMH;16;92;760196
KMH;16;93;758860
KMH;16;94;759428
KMH;16;95;758689
KMH;16;96;759059
KMH;16;97;792571
KMH;16;98;759545
KMH;16;99;757394
KMH;16;100;770207
KMH;32;1;761117
KMH;32;2;772817
KMH;32;3;764127
KMH;32;4;759963
KMH;32;5;757839
KMH;32;6;772012
KMH;32;7;760355
KMH;32;8;762555
KMH;32;9;760877
KMH;32;10;773774
KMH;32;11;771806
KMH;32;12;763696
KMH;32;13;765352
KMH;32;14;760650
KMH;32;15;762737
KMH;32;16;758308
KMH;32;17;753199
KMH;32;18;752753
KMH;32;19;756138
KMH;32;20;760002
KMH;32;21;761952
KMH;32;22;762764
KMH;32;23;764371
KMH;32;24;759161
KMH;32;25;761007
KMH;32;26;756385
KMH;32;27;769262
KMH;32;28;752451
KMH;32;29;754384
KMH;32;30;754860
KMH;32;31;753467
KMH;32;32;757581
KMH;32;33;752272
KMH;32;34;759073
KMH;32;35;759159
KMH;32;36;754617
KMH;32;37;749689
KMH;32;38;755104
KMH;32;39;766069
KMH;32;40;759673
KMH;32;41;760530
KMH;32;42;755530
KMH;32;43;761571
KMH;32;44;756604
KMH;32;45;751169
KMH;32;46;761059
KMH;32;47;761448
KMH;32;48;756448
KMH;32;49;750656
KMH;32;50;753974
KMH;32;51;756565
KMH;32;52;761698
KMH;32;53;760760
KMH;32;54;762031
KMH;32;55;791587
KMH;32;56;791800
KMH;32;57;798637
KMH;32;58;758697
KMH;32;59;791838
KMH;32;60;765044
KMH;32;61;776885
KMH;32;62;904042
KMH;32;63;763031
KMH;32;64;759826
KMH;32;65;765150
KMH;32;66;751649
KMH;32;67;759083
KMH;32;68;754622
KMH;32;69;760429
KMH;32;70;759478
KMH;32;71;759845
KMH;32;72;763190
KMH;32;73;761571
KMH;32;74;759357
KMH;32;75;755069
KMH;32;76;749913
KMH;32;77;758977
KMH;32;78;747027
KMH;32;79;747038
KMH;32;80;747970
KMH;32;81;747244
KMH;32;82;757189
KMH;32;83;761257
KMH;32;84;760536
KMH;32;85;766325
KMH;32;86;795753
KMH;32;87;753625
KMH;32;88;758259
KMH;32;89;753866
KMH;32;90;767205
KMH;32;91;800589
KMH;32;92;802322
KMH;32;93;880153
KMH;32;94;759357
KMH;32;95;771040
KMH;32;96;775173
KMH;32;97;810471
KMH;32;98;763558
KMH;32;99;757830
KMH;32;100;782470
KMH;64;1;760175
KMH;64;2;762140
KMH;64;3;754574
KMH;64;4;751084
KMH;64;5;756491
KMH;64;6;810073
KMH;64;7;802427
